Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
5,5,-8,5,15,-8,-1,4
5,11,7,-18,19,-9,-10,-4
-6,-11,-20,-1,-116,19,-1,-4
-7,-5,11,-8,-36,-5,-11,-10
3,1,17,18,31,11,23,7
-5,-12,-28,-16,-7,-6,-7,-10
-2,4,12,7,41,0,0,-2
-6,8,22,16,-10,-10,-10,-5
8,8,1,-5,-10,-1,20,24
-4,-11,-16,-2,10,2,-5,4
0,-2,1,3,13,2,-5,-7
-6,-11,-21,-14,-6,-13,-11,-9
-1,-3,8,-1,-4,3,-2,4
-4,1,-6,-2,2,-4,1,-4
2,2,11,0,0,-1,0,2
-4,-8,0,-10,-4,-12,-5,-4
-6,-9,-50,-25,-14,-23,-16,-10
0,3,14,5,11,22,1,2
2,10,39,20,11,9,13,0
-1,1,14,9,-12,-19,-18,-13
3,2,12,14,6,3,-2,0
-2,-17,-42,-19,32,14,27,10
-7,-11,0,-6,-22,-13,-6,-7
0,0,22,19,5,-1,-5,-5
-1,2,13,15,4,3,1,-7
-1,4,-12,-10,-27,-12,-7,-1
-8,-2,-21,-12,-10,-2,-4,-11
-2,3,-9,5,31,-11,-16,-7
0,-6,3,-1,-13,-1,9,5
-5,-13,-15,-6,1,7,10,2
1,3,-29,-9,-8,-6,6,1
-2,1,46,16,6,5,-11,1
-3,3,30,19,0,1,14,-2
0,5,-14,-8,-16,-16,-3,-2
-1,5,1,9,18,-1,-1,-4
-5,-8,-21,-11,-3,15,-10,-11
0,-1,4,-12,-22,-16,-12,-9
-4,2,5,5,1,-9,7,-5
8,-1,-29,-13,-4,3,15,17
-6,-17,-1,5,2,2,-15,-7
2,-2,21,3,-8,-7,-5,1
-1,5,9,11,6,10,10,2
-7,-12,-25,-11,1,-15,-7,-10
3,7,20,16,6,-1,2,1
1,3,-13,0,52,-2,1,1
-4,-2,15,-12,-37,2,-5,0
0,-4,-9,-4,-16,0,-4,-5
1,3,-25,-13,-17,-10,0,-2
-5,0,-15,-7,19,-9,-13,3
-9,-22,4,10,43,5,-9,-14
2,1,23,24,20,35,18,8
1,1,-10,-10,-17,-10,22,9
1,7,6,8,13,-2,-14,0
-2,1,0,3,-1,-6,-10,1
1,1,-29,-15,-8,0,19,13
-2,-1,-7,-12,8,-1,-8,-11
-1,9,43,23,-6,-2,-5,-5
-2,-3,-27,-18,-5,-5,-12,-7
-8,-7,-24,1,-5,6,-1,-11
7,2,42,23,2,3,10,15
3,-4,29,10,3,-6,0,11
2,4,8,12,-13,-8,8,-7
0,-6,-41,-7,17,-8,1,7
-7,-10,-36,-23,-13,-6,-9,-4
-3,-1,5,18,60,12,6,-2
-7,-13,-22,-10,-25,11,6,-4
-1,6,5,-5,-12,-6,-7,-9
-1,5,-2,3,-6,-15,-7,3
1,-8,-13,-8,-2,1,7,1
-1,1,38,26,34,-4,-3,-7
3,-2,4,-14,-52,7,8,6
4,12,-7,-3,-9,-6,-17,-7
-10,-15,-42,-13,68,-6,-17,-22
-6,-10,-1,-14,-42,6,8,17
4,-4,47,2,-4,0,15,11
-8,-12,-36,1,-6,-2,-5,1
0,-6,-21,-3,21,8,-6,-4
2,1,-13,-6,-8,-9,-16,-6
-1,9,30,12,3,1,7,1
0,2,0,0,-1,-5,-5,-8
0,4,0,-6,1,6,0,2
1,-7,-6,-1,58,-1,5,6
0,0,1,9,-10,-13,-17,0
-3,-6,7,-3,-8,-13,7,0
5,-1,23,-9,-19,8,4,4
-7,-13,-51,-10,-14,10,-8,-15
-4,-5,-26,-8,2,8,-7,-16
5,3,-27,-6,-11,-18,3,21
-5,4,32,0,-1,7,0,0
0,2,50,7,3,0,-7,4
-4,-7,-18,-1,6,3,-10,-5
-4,-10,-28,-14,-7,4,7,-11
-2,-13,-6,-6,-6,1,3,6
1,2,3,5,-5,-2,-12,-3
1,4,-9,-6,8,0,28,9
-1,-5,-30,-25,-21,-15,-20,-7
-6,-5,15,14,29,4,8,-7
3,6,27,19,19,2,0,10
1,2,-23,-3,8,2,3,3
2,2,7,0,7,-2,0,0
-4,-13,-17,-9,2,-1,-11,-9
5,5,25,11,-5,-7,5,-2
-2,0,30,22,19,4,1,3
-4,5,2,0,-4,-13,-20,-8
-2,1,7,3,-5,-7,17,-5
3,2,-23,-11,-1,24,-2,3
-1,-14,-35,-17,18,0,2,3
2,5,14,-1,-3,-9,-3,6
1,3,2,6,-13,-10,-14,-8
1,1,1,-2,-10,-6,-7,4
-5,1,-5,-10,-12,-5,2,-10
-4,-3,-7,-8,-11,-5,10,-7
0,-8,5,11,12,15,7,16
5,1,-9,-13,-9,8,15,7
-2,2,-1,0,9,-2,2,0
-5,0,22,18,3,8,-20,-17
1,1,31,5,5,-5,21,19
-1,-7,-39,-7,-7,-6,-1,1
-7,-6,-10,-4,-8,4,-11,-10
-5,0,25,8,-4,-10,-2,-2
4,3,-11,-16,-10,-5,-6,-7
8,4,0,11,19,17,5,3
-1,-1,-11,2,4,5,0,0
-4,-1,-13,-1,7,-5,-6,-13
-1,-1,15,-10,-15,-9,2,7
-3,-10,-22,-6,-10,-10,-4,2
2,-10,0,-4,1,3,-2,-4
-10,-11,17,14,-8,-9,-4,-5
6,10,6,5,5,-11,-1,12
0,-1,-16,-18,-9,-4,1,-4
4,7,-6,-6,-30,-6,-13,-6
2,8,8,-1,40,-18,-18,-1
3,4,-25,-12,-23,21,49,8
-4,0,16,1,-11,-3,1,0
-6,-8,27,19,-1,-4,-15,-9
-5,1,0,16,43,-17,-31,-26
3,-1,-11,2,-4,-2,40,18
-7,-11,-8,-15,-46,-1,-6,-7
3,1,-27,2,6,10,1,11
3,0,17,15,10,-4,-6,2
-5,2,24,1,-22,-2,-5,-5
-2,1,-11,-13,-7,-4,-1,2
-9,-11,-11,-18,-20,0,-15,-17
5,4,11,24,26,-4,8,12
-5,-6,-1,-8,-4,-13,-21,-6
-3,0,2,10,10,8,8,-7
-5,-1,6,1,-4,-10,6,-7
-4,-14,-7,-8,-7,-4,0,4
8,7,5,1,-9,-1,-5,7
-4,-9,-37,-20,-1,-2,-9,-11
-4,-7,11,11,6,-22,-3,-3
-1,5,20,13,10,0,-8,-7
-1,-11,8,-4,5,23,21,12
2,3,-2,-4,-4,-2,-2,3
-1,5,2,7,2,-5,3,-6
2,7,-8,-11,-10,-6,-2,-7
-1,1,-21,-21,-10,-12,-6,-9
-8,-21,13,3,14,-3,-4,2
-7,-5,-1,-4,-5,8,4,-6
2,6,-19,1,-32,9,-7,6
-4,-5,15,-14,-7,-3,-9,-4
1,8,25,11,-7,-7,-2,5
2,2,-24,-5,-7,3,4,3
-3,8,15,-2,-7,-11,-10,-7
-4,-6,36,11,9,-6,-18,-12
-1,-5,-13,-2,-7,-2,-2,-8
-7,-6,-53,-17,17,-6,-10,-5
-5,-1,-4,8,54,10,23,4
2,-4,40,-9,-26,0,3,6
3,5,26,25,18,-9,-4,2
1,3,-5,-2,18,6,-17,-11
-1,0,-27,-23,-11,-19,11,-4
2,1,-19,-20,-35,6,-9,5
-13,-14,-43,-12,-5,23,-3,-6
1,-1,-5,-5,-6,4,-6,-1
-10,-12,57,7,-37,-13,-10,-6
0,3,5,12,-2,-6,-2,-14
-1,7,3,-7,-1,-5,18,12
6,3,-7,-4,-17,-5,-8,0
2,3,-8,5,57,11,7,5
-3,-9,-26,-7,16,-4,-1,-2
-4,0,2,6,-11,-7,-13,-18
7,5,-18,-10,-5,-8,26,12
-4,-10,0,-12,2,21,-2,-2
-2,-2,34,28,-2,-7,4,8
1,-2,4,-1,5,-3,-14,-5
-10,-8,-5,-10,-10,-15,-39,-19
2,-1,-11,-2,3,15,34,8
-1,-3,13,1,3,2,-1,-1
-2,-7,-28,-7,-3,-4,-8,5
-3,0,-2,0,-13,-11,-7,-6
-2,0,6,3,8,4,2,0
-1,0,-24,-13,-13,-6,-12,-6
-1,3,3,-11,10,5,-2,-4
2,0,14,18,-10,-7,-8,-4
3,4,7,1,-23,1,-2,1
-7,-8,17,17,18,4,3,-5
-4,-8,-30,-5,-21,-9,-11,-11
-4,-3,-12,-25,-14,-8,14,6
-3,-10,-7,2,-13,1,-8,10
5,-2,5,12,6,1,8,9
-2,2,1,3,28,-9,-10,-8
-9,-16,-11,-8,-9,11,-3,0
6,10,36,9,9,1,-9,0
1,0,-22,-12,-7,-1,8,0
-7,-12,-38,-13,-2,-9,-8,-10
-10,-2,7,9,65,-11,0,-9
-3,-4,0,-17,-50,-5,-15,-4
4,8,10,0,-14,-8,17,9
2,6,8,10,-12,-10,-7,0
0,-1,7,11,35,21,4,0
0,-1,-12,-15,7,21,-4,-7
-12,-17,-25,-6,-4,-15,-3,2
0,6,0,9,0,-6,-4,-1
-1,-1,-28,-14,-5,-10,-19,-2
2,5,47,28,45,-2,18,-3
1,1,-2,6,-15,-11,-6,-8
-2,-1,3,-13,-5,-4,-4,-7
1,3,51,19,6,11,-13,9
-6,0,-7,1,-7,-9,2,-7
-1,-4,-46,-22,-7,-5,-13,3
-1,-7,3,-8,-5,-2,2,1
-3,0,25,21,19,3,2,-6
-1,-2,-3,-4,5,1,5,-2
-1,6,-9,-15,-17,-8,-10,-4
-1,-3,-24,-23,8,1,-10,-6
-6,-25,-8,25,48,-3,16,11
3,8,20,13,-23,-12,10,-5
-2,0,-4,2,35,-6,-8,-7
-2,-10,-33,-19,-15,5,-14,-5
-11,-5,-7,-10,-25,-8,-2,-5
8,4,16,17,18,11,23,15
4,6,39,30,22,4,-16,1
-4,-7,-24,-5,-9,-1,1,1
4,6,-11,-7,-7,-13,-2,6
-1,17,41,10,9,-7,-8,-8
-6,-10,-1,0,-1,-7,-7,-9
-9,-16,-3,13,-1,2,2,-5
1,-2,-2,-4,2,0,-8,-3
7,12,-5,8,6,3,5,18
-12,-14,-15,-14,-9,-2,0,-6
1,-5,-14,-1,6,6,4,7
1,4,6,-8,-24,-14,-14,-10
-1,-6,-9,-6,17,0,15,4
0,2,3,12,17,-2,-14,-4
-2,2,-15,-13,-23,-14,3,1
0,-1,-13,-1,-1,4,5,3
-6,0,41,21,10,12,-14,-9
-2,-1,27,15,-1,2,-5,-8
-2,-5,-11,-14,-9,-24,-1,3
-1,-2,-33,-41,-117,10,-10,-9
-2,-1,-27,-17,-21,-3,-5,-8
1,11,12,4,-4,-8,-10,-1
0,-17,25,6,-10,-9,-1,8
-4,-4,38,34,19,12,28,-8
6,-1,-4,-2,-2,-2,1,9
3,4,-16,-5,38,8,-20,4
4,14,8,-1,1,-11,-8,-5
-6,-5,-5,-6,-28,-11,-3,-9
-2,-8,-27,-20,1,-13,-7,-7
-6,-14,-17,-15,-11,12,-5,-12
0,-5,-6,-5,-21,3,1,4
0,4,4,9,10,-2,-4,7
-3,3,10,8,-9,-8,1,0
-7,-9,17,9,6,12,3,-10
2,-3,-8,-5,4,-9,-3,10
5,7,-10,-12,-10,-10,-3,4
-4,-4,-10,-1,1,9,23,1
-2,-10,-41,-24,5,2,1,-1
-14,-13,22,-2,-4,-10,-27,-22
0,6,15,15,-5,-5,24,5
3,-2,0,-9,-14,-14,-14,-1
0,2,-11,-7,-57,15,-7,-11
0,-1,9,1,6,17,15,-9
-2,-9,5,-3,-16,1,-4,14
-2,-5,-7,11,12,-9,-11,-4
3,-1,-27,-7,-4,-7,-4,1
-1,-1,-8,-12,-8,-20,-16,-10
-2,4,47,17,-2,15,9,5
2,0,-4,7,51,-8,-7,10
-7,-13,-35,-17,-22,5,1,-6
-1,2,21,7,6,-5,-8,-4
4,9,20,16,-1,3,-1,2
-3,0,10,1,1,-5,-3,-4
-6,-8,-7,-5,10,9,-5,-11
-5,-8,-51,-24,-16,7,1,-8
-1,-9,-15,-17,-16,-5,-7,6
-3,9,59,25,-8,-9,-5,-13
3,10,8,-1,-6,-11,-9,9
-1,0,-18,5,22,7,-9,-2
-6,-16,-36,-15,-5,6,43,1
-2,8,15,-3,-24,-7,-3,-7
-3,-3,27,2,3,11,-1,1
-3,-12,-39,-13,9,-4,-7,-4
0,-1,2,2,-5,-6,-11,-4
0,5,62,22,-12,-9,-10,-5
-4,-1,-7,13,32,6,-1,-15
4,3,-23,-9,6,9,14,18
-3,0,-16,-11,-7,-7,-28,-12
2,-11,-5,-7,4,-1,-8,8
-2,-3,19,6,-37,-2,42,15
2,5,-19,-14,-19,-10,3,-5
-4,2,-16,-15,-1,-8,0,-2
4,-1,30,18,-96,-26,-8,-3
-2,0,17,21,37,24,-7,-3
3,0,-2,0,-10,8,4,4
-3,-4,-19,-11,-16,-13,-5,-5
2,3,-1,-2,-8,-16,-9,-2
6,9,-5,14,51,17,25,2
4,0,-34,-20,-6,0,-7,-4
-8,-6,28,9,11,5,-6,-7
-3,-5,40,7,-10,-10,-10,-4
-5,2,11,19,7,-4,-13,-11
1,-1,-33,-13,-5,3,26,14
1,4,-20,-13,-2,-3,6,4
-2,-8,-2,-5,-5,-22,-6,-3
-9,-10,-7,-2,-10,-10,-6,-6
-5,5,-3,-9,-16,5,-6,-8
6,3,-6,0,15,20,-19,1
-6,0,40,23,10,-6,11,5
5,-1,-18,-8,-11,-14,-1,11
-4,-5,-1,-7,-8,-11,3,-4
-4,-5,-5,-8,27,21,1,-3
-1,-9,-25,-12,8,10,-3,-4
-3,-3,-22,-12,-13,-17,-10,-8
-4,6,-9,-2,-3,-8,-28,-17
3,2,19,-6,0,9,55,26
-2,4,62,31,-17,-13,-6,-2
-1,6,-10,10,19,-3,-9,-3
-4,-10,-11,-24,-14,-4,4,8
-5,-9,22,11,14,6,-8,-9
-7,-9,-30,-6,-6,1,-3,-1
2,-2,-15,6,23,7,0,1
0,5,-10,-8,-20,-14,-17,-7
0,-1,-13,-6,6,-3,-3,-6
-1,-9,-1,-7,-28,2,1,3
2,12,13,11,3,-7,14,-4
1,0,10,0,-1,-2,-7,-2
-1,4,22,13,-11,10,-8,-1
1,0,-4,-7,-4,7,5,1
-6,-6,-6,-9,-5,-5,-5,-10
-2,4,-15,-10,-35,-3,-4,-4
0,1,-11,-4,14,-13,-1,2
-6,-9,-3,-8,-5,-5,-2,1
1,0,18,16,5,9,-9,-3
-3,-2,5,9,-6,-8,-12,-11
-2,1,-23,-11,4,-2,1,-6
2,2,-17,-36,-38,19,17,16
0,5,31,10,7,18,-10,-7
-6,-8,-21,-12,1,-3,9,-2
0,2,14,4,-23,-9,-2,4
-4,-10,-7,-8,-44,-11,-2,-4
-3,-5,15,1,26,-6,-18,-12
-4,4,-12,-5,-14,0,-7,-8
-4,-3,-12,-8,-13,-5,22,-4
-2,-7,-20,-8,1,3,6,0
0,1,-19,-13,-9,-2,-8,1
-5,-10,-3,2,-3,1,2,5
-4,-4,3,-2,3,-1,-4,-10
2,5,9,6,1,-8,-11,-5
2,8,7,-4,-15,-19,-18,-2
-5,-18,-27,-17,2,3,-12,0
-5,-22,6,2,-4,17,47,10
0,9,33,24,15,16,3,-4
0,-1,-4,-4,-13,-8,-14,-7
-1,3,2,-6,8,-6,-10,-9
1,-5,-9,0,-9,7,3,2
-6,-8,0,-6,-18,-6,-2,-9
-6,-1,-14,-14,1,-6,-18,2
-3,1,-19,-7,-25,-4,-1,-2
-2,0,-7,-8,4,13,-2,-3
3,6,-1,-1,3,7,1,-1
-11,-7,-11,-8,-17,3,-2,-7
-4,-5,-6,1,-3,-8,-13,-14
2,1,21,3,2,4,8,6
1,1,0,7,1,-1,7,4
1,1,-8,-8,-5,-6,0,8
1,-4,-16,-3,1,-3,-2,2
1,2,5,-2,-9,-2,-4,-7
0,1,8,5,-1,1,6,4
-6,-12,-14,-21,-1,-10,-6,-3
2,7,10,26,8,-1,-2,3
0,0,12,3,2,-4,-2,-5
-3,-4,14,7,-2,-2,-3,0
0,-5,-9,-4,-4,12,3,3
-3,0,-19,-6,-9,-5,-4,-9
-1,1,-9,-8,5,-7,-11,-10
-6,-7,-1,-4,5,8,6,-4
-3,-10,-2,7,4,-3,-7,7
-1,4,18,9,2,3,-3,0
-2,1,-11,-15,-9,-10,-13,-13
0,8,1,-6,-5,-1,-14,-4
-7,-8,-18,-8,0,1,16,-32
4,5,0,7,4,14,9,2
-7,-1,15,-2,-2,-13,-19,-19
-4,-1,-33,-25,-31,-19,0,0
5,-3,-20,-19,-15,2,28,16
-2,7,74,37,13,-8,-10,-4
-6,2,22,16,-4,-4,-13,-10
3,6,27,15,2,-13,-5,-1
-7,-15,-38,-20,5,34,1,-4
-7,-3,-26,-18,-16,11,-5,3
-3,-2,7,-3,-6,-3,1,-6
-1,2,3,15,35,-25,-4,5
2,-1,-5,4,23,-4,3,1
-4,-6,-16,-14,-5,-17,-4,-2
-2,3,6,3,-5,-8,0,-3
-4,-1,21,17,9,-1,1,-2
-1,2,4,-7,-2,1,-2,3
-1,-3,-7,-18,-12,2,-2,-6
1,-7,-25,-6,14,-7,-1,-3
-4,-8,-26,-8,12,1,12,-6
-2,-4,-2,-19,-40,1,-12,-8
0,-2,-6,-4,-14,-7,-5,6
-4,-5,25,15,11,-1,-5,-1
3,-1,19,25,15,13,18,3
2,4,-4,-2,-12,-10,-9,-1
2,10,16,7,7,-5,-5,-6
2,2,-22,-18,8,17,-1,2
-9,-15,-18,-16,-6,-5,-9,-10
-8,-18,20,5,5,10,-4,8
-3,3,26,28,2,-3,0,-5
1,3,-7,1,2,-5,-15,-9
1,1,-11,-18,-10,-5,-10,17
5,3,-29,-8,14,-9,27,12
-4,1,-8,-6,-61,-11,-22,-12
-5,-9,-11,-9,3,10,-5,1
-4,-5,5,-8,-6,-5,1,-10
4,10,43,20,-8,-8,15,4
1,3,-2,-4,5,0,-13,-8
1,4,-6,-5,-7,-3,-12,-6
3,2,-30,-22,-17,-8,7,3
-1,-8,25,10,13,6,-6,-8
-1,2,41,18,5,1,2,3
3,-2,-30,-6,-13,-9,-8,4
-3,-16,-10,-5,4,-3,-8,-4
1,7,28,3,-11,-11,-16,-9
-8,-5,-9,1,28,23,12,-5
-4,2,-12,-9,-34,-7,-10,-5
2,6,16,16,47,-6,0,-2
-2,-3,-19,-19,-13,-20,-4,-7
-4,0,7,-3,-11,2,-13,-2
4,10,29,30,23,-15,-1,14
0,-8,-14,-25,-30,27,3,0
-10,-2,-8,0,0,-1,-9,-21
0,3,5,0,6,0,4,-10
0,0,16,-11,-93,-16,-35,11
-5,-10,-10,-20,-58,-17,41,5
-2,-7,-16,-10,-4,23,-4,1
-9,-8,-2,-8,-22,-3,12,-2
0,5,26,22,21,-1,3,-3
-3,0,-5,-5,12,4,-5,-12
-1,-2,-26,-9,-4,-9,-12,1
-2,-10,-9,-8,-2,-14,1,-4
7,5,20,14,9,-3,-3,2
-4,2,12,-4,-4,-3,-7,3
6,4,13,4,-5,3,2,4
-7,-7,-28,-21,-13,-8,10,-5
-5,-5,-14,3,17,2,-3,-2
0,4,7,2,3,-5,-7,-9
-1,-5,16,-1,3,1,1,-4
7,-1,-5,10,1,-1,6,6
-1,0,-11,-8,-2,1,12,13
-2,2,-20,-11,-8,-6,-9,1
1,-7,10,2,-2,-6,-1,2
-3,6,32,19,11,2,0,-6
-5,-12,-16,1,5,-5,0,-9
-4,-3,-6,-9,-10,10,-9,-3
0,-2,6,-5,-6,-1,15,9
-7,4,-18,-11,-10,-6,-16,-19
5,0,-48,-25,-14,1,42,31
0,-12,34,-1,-2,-1,0,9
-5,1,60,38,19,0,-10,-11
1,4,-10,-9,1,-12,-6,-4
-4,-6,-14,-11,-14,0,1,-2
-5,2,-15,-5,-5,6,-3,-12
3,4,-30,-2,8,-24,-7,-2
-2,2,10,-4,-2,10,-9,-5
2,-2,33,8,9,3,6,3
-3,-1,0,-9,-44,-12,-7,0
1,-7,-18,3,13,-12,6,2
-8,1,-10,-7,-17,-11,-13,-18
-1,8,3,-3,-17,-6,-27,1
-8,-4,-12,0,8,9,-5,-7
6,2,17,-3,-13,17,47,19
1,-2,-36,-3,-4,-8,-5,5
-1,1,-5,-2,12,-13,-8,-7
1,9,30,10,-28,-5,-12,-4
-2,-1,-35,-22,-17,-10,-10,-11
-1,-5,-15,-2,16,6,30,17
0,1,67,35,7,6,1,-6
-1,-5,14,14,5,-1,-3,7
1,3,15,22,10,-3,-5,-5
1,8,-4,-13,-11,-11,-6,-2
-1,-8,-50,-23,-14,-9,-6,-5
-4,0,3,0,-2,-2,-8,-15
-1,4,10,3,-10,18,-6,-1
-4,-4,-17,-15,-10,-6,7,6
-7,-7,2,1,-6,-16,-8,-7
-2,-7,-10,-11,-1,10,4,-7
-5,-7,-26,-11,-11,-7,-4,-8
4,1,21,8,17,-3,-2,11
3,3,-5,-7,-22,-3,-4,0
-7,-7,-43,-21,7,6,4,-6
-1,-13,-32,-10,-1,-7,13,5
-3,-3,53,43,-16,-6,-6,-6
-2,5,19,12,-21,4,-12,-9
4,0,0,-3,-10,6,8,8
-4,1,-39,-18,-14,-15,-4,6
-3,2,-23,-5,8,22,0,-8
-4,-7,31,-7,-3,9,-14,2
0,0,32,17,14,-2,15,-2
-2,-4,-12,-1,0,-7,17,9
-3,-4,-14,-3,5,-10,-7,-8
4,5,-13,1,5,-12,-6,1
-2,-4,6,-3,-14,-3,-10,-9
-2,-2,24,4,-1,-3,-9,-11
-2,-4,-29,-10,-10,-1,0,-3
-2,-6,-17,-4,2,1,2,0
0,6,-5,-11,3,2,-1,0
-2,-7,-17,2,11,1,-3,0
-5,-9,31,20,-3,-4,-18,-14
3,6,27,7,5,10,4,-3
2,-3,-2,-6,-11,-19,3,14
1,-1,-25,-7,-4,-4,3,3
3,1,-9,-13,-11,-7,-11,-3
2,3,-18,-27,-42,-12,-8,-8
-2,3,38,11,16,6,22,3
-3,-9,8,17,26,-3,-11,-4
1,-2,-15,-15,-31,13,-1,-10
-1,-3,0,3,-12,-2,0,11
1,0,-15,-9,-15,0,-12,-7
-4,3,-23,-24,-7,-9,10,-2
3,6,0,1,35,24,-5,1
-3,-5,28,14,-6,-3,-9,3
3,7,27,19,13,8,1,5
-3,-7,-13,-12,-7,-4,-5,-6
-7,-3,-14,-2,-8,-9,-6,-5
-5,-9,-8,-16,-8,-7,-7,0
2,4,-20,-2,3,-8,-26,-8
-3,5,-10,-2,-3,0,20,3
2,-4,-13,-11,-1,6,30,11
-3,-8,1,-10,-8,-1,-2,-2
0,-8,0,0,8,9,-5,-8
2,4,9,1,-3,-16,-7,-4
-2,3,20,17,-1,-6,-6,-9
0,-3,-1,10,4,0,3,5
-4,-1,3,-3,-16,-12,-16,-7
-4,2,-11,-6,9,10,-11,-13
-1,-19,-26,-3,-6,0,21,16
-2,2,-6,-11,-2,-3,-4,1
-6,-10,-8,-12,4,2,-2,-5
1,11,61,24,-7,-6,-8,-8
1,6,-15,-7,-15,-8,-2,-4
3,-6,-28,-18,14,-7,2,-4
-1,0,-16,-2,-12,-5,-3,-1
-6,1,31,15,3,-7,-3,-4
0,-2,22,11,14,6,2,1
-1,-2,-8,-8,-4,-3,-3,-4
1,5,-10,-6,-8,-5,-3,-1
-1,-4,-15,-19,-32,-3,0,2
0,3,3,-2,3,-5,-5,-5
0,-1,4,-5,-7,-5,-3,0
-1,2,-1,0,-2,-1,-8,-1
-4,-5,-8,-4,-4,1,15,-5
1,5,-7,1,17,-7,-6,-2
-6,-2,7,-7,-35,-1,-2,-6
5,-1,-7,-13,-8,3,0,7
0,4,-2,-9,6,2,-3,-5
-6,-6,5,4,1,3,-1,0
0,-3,-6,6,-1,-9,2,5
-5,7,-1,-8,-21,-9,-4,-9
-3,-11,9,-6,3,-1,-17,-10
-7,-11,22,13,1,-13,-19,-14
-10,-4,-12,-12,-9,-24,26,2
8,6,-25,-6,6,27,5,17
-1,-7,-14,-32,-24,21,-1,0
-7,-9,-4,3,-4,7,-5,0
-4,-3,-4,-2,-5,-14,-20,-12
0,5,1,-1,-2,9,22,-8
0,0,-8,-8,-11,-6,-6,-7
0,-3,1,-4,-3,-3,-1,4
0,-3,3,3,8,0,-4,-1
-1,2,-20,-7,4,-4,-2,4
-4,-7,-20,-9,20,-20,-1,-4
0,3,39,22,8,18,-3,2
-3,-10,-57,-18,-7,-4,-2,0
-4,-11,22,-5,-4,-11,-19,-7
4,15,58,39,3,3,24,-1
2,1,10,-10,3,-8,12,6
-2,-1,-36,-9,-6,-8,11,6
4,4,-27,-13,1,19,5,8
-6,-6,23,-4,-37,-17,-16,-7
-9,-8,7,35,127,17,20,-3
-1,3,-9,-15,-60,-4,-22,-3
2,4,-3,-9,-20,-4,-7,-2
-6,-7,-23,-11,3,-4,14,-4
-5,-2,-17,-3,17,-3,-14,-17
4,8,-3,1,6,-9,2,8
-1,-3,14,16,9,3,8,1
-4,-1,32,9,-7,-6,-9,-2
-5,-11,-41,-15,1,2,-5,-9
-3,-2,25,-7,-4,0,-4,0
4,14,55,42,6,-5,9,5
-2,-11,-43,-11,5,7,2,2
-3,-5,-27,-9,-1,7,6,3
-5,10,24,-2,-17,-2,-8,-11
-5,-2,-21,-13,1,-13,-7,-7
-4,1,-9,-3,-2,-16,-32,-18
-5,-9,35,9,-24,-2,15,7
-3,-9,7,-2,8,19,13,-5
0,-2,-23,-8,1,-6,5,10
-3,8,-20,-15,-11,-3,-22,-4
-7,-6,-23,-16,-13,-10,12,-1
0,-10,32,33,54,-25,-10,-2
-3,2,4,-4,-9,6,-5,-10
7,0,-20,-4,-1,14,17,7
-3,-6,-1,-19,-15,-3,8,-4
-5,7,19,13,-3,-2,4,-10
-7,-9,4,-4,19,10,8,-1
7,6,0,0,-8,-1,-9,2
-1,2,0,5,-2,-4,-5,5
6,-3,-21,-5,9,10,3,12
-2,-5,0,-14,-20,-16,-8,-7
-5,-7,-10,-5,3,-1,-13,-12
-1,-10,-31,-9,-10,26,16,10
-10,-10,2,-11,-5,8,9,1
4,3,27,10,-69,-11,-9,-2
1,10,10,1,-23,-18,-1,-6
-2,4,14,7,-4,-8,-18,-13
-6,-14,-37,-13,-6,4,15,1
-4,-8,-10,-1,13,-4,15,7
5,9,27,24,2,4,0,-1
-8,-8,7,-9,-3,0,-6,-8
-2,0,-33,-29,-6,-13,-8,-4
4,12,19,10,-1,-7,-1,9
-2,-1,17,4,20,-1,-9,-7
-4,-11,-15,6,31,1,-11,-4
0,-1,-26,-14,-11,-7,17,-7
-5,-8,-25,-11,-2,-1,2,2
7,2,25,8,6,20,6,21
-2,5,46,27,7,1,-21,-13
-3,-8,-6,-1,0,10,5,-6
2,5,10,0,0,-5,-2,2
1,6,-29,-18,-1,-4,5,-3
-7,-21,-23,-24,-15,-12,-4,-1
2,-5,-8,-1,-5,-6,-11,4
-9,-6,0,20,-13,1,-7,-11
3,12,29,16,4,2,16,6
3,10,1,13,-1,3,5,2
0,3,-4,-7,6,1,8,1
-5,-2,11,-13,-18,-6,-5,-7
-3,-6,-6,2,7,-11,-20,-9
5,5,-5,0,-13,-4,15,6
-2,4,-22,-11,16,-13,9,6
0,-14,-28,-19,-6,14,5,3
-6,-5,33,9,0,-2,-13,-9
-2,7,46,33,-8,-4,-7,-6
-2,5,6,3,8,1,-4,-6
-7,1,-15,-15,-13,-14,-21,-10
1,-1,-26,-19,-18,-16,1,-9
0,0,-19,-3,5,-6,9,6
-4,-10,-29,-5,8,4,1,2
-5,-16,19,-9,0,17,-7,-9
-4,2,22,15,-8,-12,-6,-6
1,4,13,6,-9,-9,-5,8
2,3,0,-7,-7,-4,-4,-2
-1,2,-4,0,18,3,-17,-6
-4,-6,-19,-13,-2,-10,3,-2
1,6,5,13,4,10,24,10
-5,-6,-19,-2,8,-13,-8,-9
7,4,10,1,5,11,3,6
0,11,10,2,-2,-11,-8,-5
3,4,-5,-9,-7,-9,-4,14
-6,-22,-5,13,52,2,1,0
-6,-2,12,16,-12,1,1,-4
2,4,18,3,-10,-5,-10,-12
